Study_ID,Author_year,Publication_year,Country_firstAuthor,Effect_ID,Species_common,Species_Scientific,Invertebrate_vertebrate,Fish_mollusc,Moisture_loss_in_percent,PFAS_type,PFAS_carbon_chain,linear_total,Choice_of_9,Cooking_method,Cooking_Category,Comments_cooking,Temperature_in_Celsius,Length_cooking_time_in_s,Water,Oil,Oil_type,Volume_liquid_ml,Volume_liquid_ml_0,Ratio_liquid_fish,Weigh_g_sample,Cohort_ID,Cohort_comment,Cohort_comment_2,Nc,Pooled_Nc,Unit_PFAS_conc,Mc,Mc_comment,Sc,sd,Sc_technical_biological,Ne,Pooled_Ne,Me,Me_comment,Se,Se_technical_biological,If_technical_how_many,Unit_LOD_LOQ,LOD,LOQ,Design,DataSource,Raw_data_provided,General_comments,checked
F002,Barbosa_2018,2018,Portugal,E011,blue mussel,Mytilus edulis,invertebrate,mollusca,6.77,PFDA,10,NA,Yes,Steaming,water-based,wrapped up in aluminum foil,105,900,Yes,No,NA,NA,NA,NA,,C005,Shared control,NA,50,1,ng/g,0.024186047,NA,0.00744186,sd,technical,50,1,0.025,<LOQ,NA,technical,2,ng/g,<0.01,<0.04,Dependent,Table 2,Yes,Authors replied. We assume that the mussels were cut in half. The paper does not state this clearly but it was our assumptions that they did not use the whole mussle for each treatment. ,
F003,Bhavsar_2014,2014,Canada,E012,Chinook salmon,Oncorhynchus tshawytscha,vertebrate,marine fish,14.4,PFNA,9,,No,Baking,oil-based,NA,200,900,No,Yes,canola oil,11,11,0.104216011,105.55,C006,Shared control,NA,5,5,ng/g,0.067,NA,0.095,sd,biological,5,5,0.086,NA,0.135,biological,NA,ng/g,Not provided,Not provided,Dependent,Table S3,No,"We assumed that all specimens of one species were analysed separately and that NO pooling occured. However, we can not be fully sure. We also assumed that the provided sd was biological. ",ML
F003,Bhavsar_2014,2014,Canada,E013,Chinook salmon,Oncorhynchus tshawytscha,vertebrate,marine fish,14.4,PFDA,10,,Yes,Baking,oil-based,NA,200,900,No,Yes,canola oil,11,11,0.104216011,105.55,C006,Shared control,NA,5,5,ng/g,0.156,NA,0.197,sd,biological,5,5,0.192,NA,0.266,biological,NA,ng/g,Not provided,Not provided,Dependent,Table S3,No,"We assumed that all specimens of one species were analysed separately and that NO pooling occured. However, we can not be fully sure. We also assumed that the provided sd was biological. ",
F003,Bhavsar_2014,2014,Canada,E014,Chinook salmon,Oncorhynchus tshawytscha,vertebrate,marine fish,14.4,PFUnDA,11,,Yes,Baking,oil-based,NA,200,900,No,Yes,canola oil,11,11,0.104216011,105.55,C006,Shared control,NA,5,5,ng/g,0.186,NA,0.225,sd,biological,5,5,0.234,NA,0.291,biological,NA,ng/g,Not provided,Not provided,Dependent,Table S3,No,"We assumed that all specimens of one species were analysed separately and that NO pooling occured. However, we can not be fully sure. We also assumed that the provided sd was biological. ",
F003,Bhavsar_2014,2014,Canada,E015,Chinook salmon,Oncorhynchus tshawytscha,vertebrate,marine fish,14.4,PFDoDA,12,,No,Baking,oil-based,NA,200,900,No,Yes,canola oil,11,11,0.104216011,105.55,C006,Shared control,NA,5,5,ng/g,0.08,NA,0.073,sd,biological,5,5,0.101,NA,0.095,biological,NA,ng/g,Not provided,Not provided,Dependent,Table S3,No,"We assumed that all specimens of one species were analysed separately and that NO pooling occured. However, we can not be fully sure. We also assumed that the provided sd was biological. ",
F003,Bhavsar_2014,2014,Canada,E016,Chinook salmon,Oncorhynchus tshawytscha,vertebrate,marine fish,14.4,PFTrA,13,,No,Baking,oil-based,NA,200,900,No,Yes,canola oil,11,11,0.104216011,105.55,C006,Shared control,NA,5,5,ng/g,0.215,NA,0.183,sd,biological,5,5,0.259,NA,0.241,biological,NA,ng/g,Not provided,Not provided,Dependent,Table S3,No,"We assumed that all specimens of one species were analysed separately and that NO pooling occured. However, we can not be fully sure. We also assumed that the provided sd was biological. ",
F003,Bhavsar_2014,2014,Canada,E017,Chinook salmon,Oncorhynchus tshawytscha,vertebrate,marine fish,14.4,PFTA,14,,No,Baking,oil-based,NA,200,900,No,Yes,canola oil,11,11,0.104216011,105.55,C006,Shared control,NA,5,5,ng/g,0.076,NA,0.055,sd,biological,5,5,0.083,NA,0.073,biological,NA,ng/g,Not provided,Not provided,Dependent,Table S3,No,"We assumed that all specimens of one species were analysed separately and that NO pooling occured. However, we can not be fully sure. We also assumed that the provided sd was biological. ",
F003,Bhavsar_2014,2014,Canada,E019,Chinook salmon,Oncorhynchus tshawytscha,vertebrate,marine fish,14.4,PFOS,8,,Yes,Baking,oil-based,NA,200,900,No,Yes,canola oil,11,11,0.104216011,105.55,C006,Shared control,NA,5,5,ng/g,12.7,NA,12.61,sd,biological,5,5,16.56,NA,18,biological,NA,ng/g,Not provided,Not provided,Dependent,Table S3,No,"We assumed that all specimens of one species were analysed separately and that NO pooling occured. However, we can not be fully sure. We also assumed that the provided sd was biological. ",
F003,Bhavsar_2014,2014,Canada,E020,Chinook salmon,Oncorhynchus tshawytscha,vertebrate,marine fish,14.4,PFDS,10,,No,Baking,oil-based,NA,200,900,No,Yes,canola oil,11,11,0.104216011,105.55,C006,Shared control,NA,5,5,ng/g,0.303,NA,0.284,sd,biological,5,5,0.397,NA,0.433,biological,NA,ng/g,Not provided,Not provided,Dependent,Table S3,No,"We assumed that all specimens of one species were analysed separately and that NO pooling occured. However, we can not be fully sure. We also assumed that the provided sd was biological. ",
F003,Bhavsar_2014,2014,Canada,E021,Chinook salmon,Oncorhynchus tshawytscha,vertebrate,marine fish,14.4,6:6PFPIA,12,,No,Baking,oil-based,NA,200,900,No,Yes,canola oil,11,11,0.104216011,105.55,C006,Shared control,NA,5,5,ng/g,0.003,NA,0.003,sd,biological,5,5,0.002,NA,0.002,biological,NA,ng/g,Not provided,Not provided,Dependent,Table S3,No,"We assumed that all specimens of one species were analysed separately and that NO pooling occured. However, we can not be fully sure. We also assumed that the provided sd was biological. ",
F003,Bhavsar_2014,2014,Canada,E022,Chinook salmon,Oncorhynchus tshawytscha,vertebrate,marine fish,14.4,6:8PFPIA,14,,No,Baking,oil-based,NA,200,900,No,Yes,canola oil,11,11,0.104216011,105.55,C006,Shared control,NA,5,5,ng/g,0.017,NA,0.023,sd,biological,5,5,0.01,NA,0.016,biological,NA,ng/g,Not provided,Not provided,Dependent,Table S3,No,"We assumed that all specimens of one species were analysed separately and that NO pooling occured. However, we can not be fully sure. We also assumed that the provided sd was biological. ",
F003,Bhavsar_2014,2014,Canada,E023,Chinook salmon,Oncorhynchus tshawytscha,vertebrate,marine fish,19.68,PFNA,9,,No,Broiling,oil-based,NA,300,600,No,Yes,canola oil,0.341,0.341,0.003381259,100.85,C007,Shared control,NA,5,5,ng/g,0.067,NA,0.095,sd,biological,5,5,0.083,NA,0.118,biological,NA,ng/g,Not provided,Not provided,Dependent,Table S3,No,"We assumed that all specimens of one species were analysed separately and that NO pooling occured. However, we can not be fully sure. We also assumed that the provided sd was biological. ",
F003,Bhavsar_2014,2014,Canada,E024,Chinook salmon,Oncorhynchus tshawytscha,vertebrate,marine fish,19.68,PFDA,10,,Yes,Broiling,oil-based,NA,300,600,No,Yes,canola oil,0.341,0.341,0.003381259,100.85,C007,Shared control,NA,5,5,ng/g,0.156,NA,0.197,sd,biological,5,5,0.19,NA,0.232,biological,NA,ng/g,Not provided,Not provided,Dependent,Table S3,No,"We assumed that all specimens of one species were analysed separately and that NO pooling occured. However, we can not be fully sure. We also assumed that the provided sd was biological. ",
F003,Bhavsar_2014,2014,Canada,E025,Chinook salmon,Oncorhynchus tshawytscha,vertebrate,marine fish,19.68,PFUnDA,11,,Yes,Broiling,oil-based,NA,300,600,No,Yes,canola oil,0.341,0.341,0.003381259,100.85,C007,Shared control,NA,5,5,ng/g,0.186,NA,0.225,sd,biological,5,5,0.256,NA,0.31,biological,NA,ng/g,Not provided,Not provided,Dependent,Table S3,No,"We assumed that all specimens of one species were analysed separately and that NO pooling occured. However, we can not be fully sure. We also assumed that the provided sd was biological. ",
F003,Bhavsar_2014,2014,Canada,E026,Chinook salmon,Oncorhynchus tshawytscha,vertebrate,marine fish,19.68,PFDoDA,12,,No,Broiling,oil-based,NA,300,600,No,Yes,canola oil,0.341,0.341,0.003381259,100.85,C007,Shared control,NA,5,5,ng/g,0.08,NA,0.073,sd,biological,5,5,0.1,NA,0.08,biological,NA,ng/g,Not provided,Not provided,Dependent,Table S3,No,"We assumed that all specimens of one species were analysed separately and that NO pooling occured. However, we can not be fully sure. We also assumed that the provided sd was biological. ",
F003,Bhavsar_2014,2014,Canada,E027,Chinook salmon,Oncorhynchus tshawytscha,vertebrate,marine fish,19.68,PFTrA,13,,No,Broiling,oil-based,NA,300,600,No,Yes,canola oil,0.341,0.341,0.003381259,100.85,C007,Shared control,NA,5,5,ng/g,0.215,NA,0.183,sd,biological,5,5,0.285,NA,0.234,biological,NA,ng/g,Not provided,Not provided,Dependent,Table S3,No,"We assumed that all specimens of one species were analysed separately and that NO pooling occured. However, we can not be fully sure. We also assumed that the provided sd was biological. ",
F003,Bhavsar_2014,2014,Canada,E028,Chinook salmon,Oncorhynchus tshawytscha,vertebrate,marine fish,19.68,PFTA,14,,No,Broiling,oil-based,NA,300,600,No,Yes,canola oil,0.341,0.341,0.003381259,100.85,C007,Shared control,NA,5,5,ng/g,0.076,NA,0.055,sd,biological,5,5,0.083,NA,0.071,biological,NA,ng/g,Not provided,Not provided,Dependent,Table S3,No,"We assumed that all specimens of one species were analysed separately and that NO pooling occured. However, we can not be fully sure. We also assumed that the provided sd was biological. ",
F003,Bhavsar_2014,2014,Canada,E030,Chinook salmon,Oncorhynchus tshawytscha,vertebrate,marine fish,19.68,PFOS,8,,Yes,Broiling,oil-based,NA,300,600,No,Yes,canola oil,0.341,0.341,0.003381259,100.85,C007,Shared control,NA,5,5,ng/g,12.7,NA,12.61,sd,biological,5,5,16.45,NA,15.63,biological,NA,ng/g,Not provided,Not provided,Dependent,Table S3,No,"We assumed that all specimens of one species were analysed separately and that NO pooling occured. However, we can not be fully sure. We also assumed that the provided sd was biological. ",
F003,Bhavsar_2014,2014,Canada,E031,Chinook salmon,Oncorhynchus tshawytscha,vertebrate,marine fish,19.68,PFDS,10,,No,Broiling,oil-based,NA,300,600,No,Yes,canola oil,0.341,0.341,0.003381259,100.85,C007,Shared control,NA,5,5,ng/g,0.303,NA,0.284,sd,biological,5,5,0.392,NA,0.359,biological,NA,ng/g,Not provided,Not provided,Dependent,Table S3,No,"We assumed that all specimens of one species were analysed separately and that NO pooling occured. However, we can not be fully sure. We also assumed that the provided sd was biological. ",
F003,Bhavsar_2014,2014,Canada,E032,Chinook salmon,Oncorhynchus tshawytscha,vertebrate,marine fish,19.68,6:6PFPIA,12,,No,Broiling,oil-based,NA,300,600,No,Yes,canola oil,0.341,0.341,0.003381259,100.85,C007,Shared control,NA,5,5,ng/g,0.003,NA,0.003,sd,biological,5,5,0.002,NA,0.003,biological,NA,ng/g,Not provided,Not provided,Dependent,Table S3,No,"We assumed that all specimens of one species were analysed separately and that NO pooling occured. However, we can not be fully sure. We also assumed that the provided sd was biological. ",
F003,Bhavsar_2014,2014,Canada,E033,Chinook salmon,Oncorhynchus tshawytscha,vertebrate,marine fish,19.68,6:8PFPIA,14,,No,Broiling,oil-based,NA,300,600,No,Yes,canola oil,0.341,0.341,0.003381259,100.85,C007,Shared control,NA,5,5,ng/g,0.017,NA,0.023,sd,biological,5,5,0.014,NA,0.022,biological,NA,ng/g,Not provided,Not provided,Dependent,Table S3,No,"We assumed that all specimens of one species were analysed separately and that NO pooling occured. However, we can not be fully sure. We also assumed that the provided sd was biological. ",
F003,Bhavsar_2014,2014,Canada,E034,Chinook salmon,Oncorhynchus tshawytscha,vertebrate,marine fish,18.68,PFNA,9,,No,Frying,oil-based,NA,175,600,No,Yes,canola oil,11,11,0.100036377,109.96,C008,Shared control,NA,5,5,ng/g,0.067,NA,0.095,sd,biological,5,5,0.078,NA,0.114,biological,NA,ng/g,Not provided,Not provided,Dependent,Table S3,No,"We assumed that all specimens of one species were analysed separately and that NO pooling occured. However, we can not be fully sure. We also assumed that the provided sd was biological. ",
F003,Bhavsar_2014,2014,Canada,E035,Chinook salmon,Oncorhynchus tshawytscha,vertebrate,marine fish,18.68,PFDA,10,,Yes,Frying,oil-based,NA,175,600,No,Yes,canola oil,11,11,0.100036377,109.96,C008,Shared control,NA,5,5,ng/g,0.156,NA,0.197,sd,biological,5,5,0.182,NA,0.222,biological,NA,ng/g,Not provided,Not provided,Dependent,Table S3,No,"We assumed that all specimens of one species were analysed separately and that NO pooling occured. However, we can not be fully sure. We also assumed that the provided sd was biological. ",
F003,Bhavsar_2014,2014,Canada,E036,Chinook salmon,Oncorhynchus tshawytscha,vertebrate,marine fish,18.68,PFUnDA,11,,Yes,Frying,oil-based,NA,175,600,No,Yes,canola oil,11,11,0.100036377,109.96,C008,Shared control,NA,5,5,ng/g,0.186,NA,0.225,sd,biological,5,5,0.227,NA,0.255,biological,NA,ng/g,Not provided,Not provided,Dependent,Table S3,No,"We assumed that all specimens of one species were analysed separately and that NO pooling occured. However, we can not be fully sure. We also assumed that the provided sd was biological. ",
F003,Bhavsar_2014,2014,Canada,E037,Chinook salmon,Oncorhynchus tshawytscha,vertebrate,marine fish,18.68,PFDoDA,12,,No,Frying,oil-based,NA,175,600,No,Yes,canola oil,11,11,0.100036377,109.96,C008,Shared control,NA,5,5,ng/g,0.08,NA,0.073,sd,biological,5,5,0.096,NA,0.081,biological,NA,ng/g,Not provided,Not provided,Dependent,Table S3,No,"We assumed that all specimens of one species were analysed separately and that NO pooling occured. However, we can not be fully sure. We also assumed that the provided sd was biological. ",
F003,Bhavsar_2014,2014,Canada,E038,Chinook salmon,Oncorhynchus tshawytscha,vertebrate,marine fish,18.68,PFTrA,13,,No,Frying,oil-based,NA,175,600,No,Yes,canola oil,11,11,0.100036377,109.96,C008,Shared control,NA,5,5,ng/g,0.215,NA,0.183,sd,biological,5,5,0.275,NA,0.216,biological,NA,ng/g,Not provided,Not provided,Dependent,Table S3,No,"We assumed that all specimens of one species were analysed separately and that NO pooling occured. However, we can not be fully sure. We also assumed that the provided sd was biological. ",
F003,Bhavsar_2014,2014,Canada,E039,Chinook salmon,Oncorhynchus tshawytscha,vertebrate,marine fish,18.68,PFTA,14,,No,Frying,oil-based,NA,175,600,No,Yes,canola oil,11,11,0.100036377,109.96,C008,Shared control,NA,5,5,ng/g,0.076,NA,0.055,sd,biological,5,5,0.087,NA,0.067,biological,NA,ng/g,Not provided,Not provided,Dependent,Table S3,No,"We assumed that all specimens of one species were analysed separately and that NO pooling occured. However, we can not be fully sure. We also assumed that the provided sd was biological. ",
F003,Bhavsar_2014,2014,Canada,E041,Chinook salmon,Oncorhynchus tshawytscha,vertebrate,marine fish,18.68,PFOS,8,,Yes,Frying,oil-based,NA,175,600,No,Yes,canola oil,11,11,0.100036377,109.96,C008,Shared control,NA,5,5,ng/g,12.7,NA,12.61,sd,biological,5,5,16.03,NA,15.19,biological,NA,ng/g,Not provided,Not provided,Dependent,Table S3,No,"We assumed that all specimens of one species were analysed separately and that NO pooling occured. However, we can not be fully sure. We also assumed that the provided sd was biological. ",
F003,Bhavsar_2014,2014,Canada,E042,Chinook salmon,Oncorhynchus tshawytscha,vertebrate,marine fish,18.68,PFDS,10,,No,Frying,oil-based,NA,175,600,No,Yes,canola oil,11,11,0.100036377,109.96,C008,Shared control,NA,5,5,ng/g,0.303,NA,0.284,sd,biological,5,5,0.393,NA,0.369,biological,NA,ng/g,Not provided,Not provided,Dependent,Table S3,No,"We assumed that all specimens of one species were analysed separately and that NO pooling occured. However, we can not be fully sure. We also assumed that the provided sd was biological. ",
F003,Bhavsar_2014,2014,Canada,E043,Chinook salmon,Oncorhynchus tshawytscha,vertebrate,marine fish,18.68,6:6PFPIA,12,,No,Frying,oil-based,NA,175,600,No,Yes,canola oil,11,11,0.100036377,109.96,C008,Shared control,NA,5,5,ng/g,0.003,NA,0.003,sd,biological,5,5,0.002,NA,0.003,biological,NA,ng/g,Not provided,Not provided,Dependent,Table S3,No,"We assumed that all specimens of one species were analysed separately and that NO pooling occured. However, we can not be fully sure. We also assumed that the provided sd was biological. ",
F003,Bhavsar_2014,2014,Canada,E044,Chinook salmon,Oncorhynchus tshawytscha,vertebrate,marine fish,18.68,6:8PFPIA,14,,No,Frying,oil-based,NA,175,600,No,Yes,canola oil,11,11,0.100036377,109.96,C008,Shared control,NA,5,5,ng/g,0.017,NA,0.023,sd,biological,5,5,0.013,NA,0.022,biological,NA,ng/g,Not provided,Not provided,Dependent,Table S3,No,"We assumed that all specimens of one species were analysed separately and that NO pooling occured. However, we can not be fully sure. We also assumed that the provided sd was biological. ",
F003,Bhavsar_2014,2014,Canada,E045,Common carp,Cyprinus carpio,vertebrate,freshwater fish,15.47,PFNA,9,,No,Baking,oil-based,NA,200,900,No,Yes,canola oil,11,11,0.11149402,98.66,C009,Shared control,NA,5,5,ng/g,0.092,NA,0.03,sd,biological,5,5,0.099,NA,0.022,biological,NA,ng/g,Not provided,Not provided,Dependent,Table S3,No,"We assumed that all specimens of one species were analysed separately and that NO pooling occured. However, we can not be fully sure. We also assumed that the provided sd was biological. ",
F003,Bhavsar_2014,2014,Canada,E046,Common carp,Cyprinus carpio,vertebrate,freshwater fish,15.47,PFDA,10,,Yes,Baking,oil-based,NA,200,900,No,Yes,canola oil,11,11,0.11149402,98.66,C009,Shared control,NA,5,5,ng/g,0.518,NA,0.107,sd,biological,5,5,0.566,NA,0.138,biological,NA,ng/g,Not provided,Not provided,Dependent,Table S3,No,"We assumed that all specimens of one species were analysed separately and that NO pooling occured. However, we can not be fully sure. We also assumed that the provided sd was biological. ",
F003,Bhavsar_2014,2014,Canada,E047,Common carp,Cyprinus carpio,vertebrate,freshwater fish,15.47,PFUnDA,11,,Yes,Baking,oil-based,NA,200,900,No,Yes,canola oil,11,11,0.11149402,98.66,C009,Shared control,NA,5,5,ng/g,0.712,NA,0.158,sd,biological,5,5,0.804,NA,0.167,biological,NA,ng/g,Not provided,Not provided,Dependent,Table S3,No,"We assumed that all specimens of one species were analysed separately and that NO pooling occured. However, we can not be fully sure. We also assumed that the provided sd was biological. ",
F003,Bhavsar_2014,2014,Canada,E048,Common carp,Cyprinus carpio,vertebrate,freshwater fish,15.47,PFDoDA,12,,No,Baking,oil-based,NA,200,900,No,Yes,canola oil,11,11,0.11149402,98.66,C009,Shared control,NA,5,5,ng/g,0.989,NA,0.317,sd,biological,5,5,1.096,NA,0.396,biological,NA,ng/g,Not provided,Not provided,Dependent,Table S3,No,"We assumed that all specimens of one species were analysed separately and that NO pooling occured. However, we can not be fully sure. We also assumed that the provided sd was biological. ",
F003,Bhavsar_2014,2014,Canada,E049,Common carp,Cyprinus carpio,vertebrate,freshwater fish,15.47,PFTrA,13,,No,Baking,oil-based,NA,200,900,No,Yes,canola oil,11,11,0.11149402,98.66,C009,Shared control,NA,5,5,ng/g,0.779,NA,0.44,sd,biological,5,5,0.774,NA,0.332,biological,NA,ng/g,Not provided,Not provided,Dependent,Table S3,No,"We assumed that all specimens of one species were analysed separately and that NO pooling occured. However, we can not be fully sure. We also assumed that the provided sd was biological. ",
F003,Bhavsar_2014,2014,Canada,E050,Common carp,Cyprinus carpio,vertebrate,freshwater fish,15.47,PFTA,14,,No,Baking,oil-based,NA,200,900,No,Yes,canola oil,11,11,0.11149402,98.66,C009,Shared control,NA,5,5,ng/g,0.951,NA,0.647,sd,biological,5,5,1.14,NA,0.874,biological,NA,ng/g,Not provided,Not provided,Dependent,Table S3,No,"We assumed that all specimens of one species were analysed separately and that NO pooling occured. However, we can not be fully sure. We also assumed that the provided sd was biological. ",
F003,Bhavsar_2014,2014,Canada,E051,Common carp,Cyprinus carpio,vertebrate,freshwater fish,15.47,PFHxS,6,,Yes,Baking,oil-based,NA,200,900,No,Yes,canola oil,11,11,0.11149402,98.66,C009,Shared control,NA,5,5,ng/g,0.292,NA,0.319,sd,biological,5,5,0.341,NA,0.391,biological,NA,ng/g,Probably <0.006,Not provided,Dependent,Table S3,No,"We assumed that all specimens of one species were analysed separately and that NO pooling occured. However, we can not be fully sure. We also assumed that the provided sd was biological. ",
F003,Bhavsar_2014,2014,Canada,E052,Common carp,Cyprinus carpio,vertebrate,freshwater fish,15.47,PFOS,8,,Yes,Baking,oil-based,NA,200,900,No,Yes,canola oil,11,11,0.11149402,98.66,C009,Shared control,NA,5,5,ng/g,27.17,NA,7.768,sd,biological,5,5,30.52,NA,9.254,biological,NA,ng/g,Not provided,Not provided,Dependent,Table S3,No,"We assumed that all specimens of one species were analysed separately and that NO pooling occured. However, we can not be fully sure. We also assumed that the provided sd was biological. ",
F003,Bhavsar_2014,2014,Canada,E053,Common carp,Cyprinus carpio,vertebrate,freshwater fish,15.47,PFDS,10,,No,Baking,oil-based,NA,200,900,No,Yes,canola oil,11,11,0.11149402,98.66,C009,Shared control,NA,5,5,ng/g,0.911,NA,0.532,sd,biological,5,5,1.084,NA,0.571,biological,NA,ng/g,Not provided,Not provided,Dependent,Table S3,No,"We assumed that all specimens of one species were analysed separately and that NO pooling occured. However, we can not be fully sure. We also assumed that the provided sd was biological. ",
F003,Bhavsar_2014,2014,Canada,E054,Common carp,Cyprinus carpio,vertebrate,freshwater fish,15.47,6:6PFPIA,12,,No,Baking,oil-based,NA,200,900,No,Yes,canola oil,11,11,0.11149402,98.66,C009,Shared control,NA,5,5,ng/g,0.098,NA,0.06,sd,biological,5,5,0.105,NA,0.06,biological,NA,ng/g,Not provided,Not provided,Dependent,Table S3,No,"We assumed that all specimens of one species were analysed separately and that NO pooling occured. However, we can not be fully sure. We also assumed that the provided sd was biological. ",
F003,Bhavsar_2014,2014,Canada,E055,Common carp,Cyprinus carpio,vertebrate,freshwater fish,15.47,6:8PFPIA,14,,No,Baking,oil-based,NA,200,900,No,Yes,canola oil,11,11,0.11149402,98.66,C010,Shared control,NA,5,5,ng/g,0.167,NA,0.077,sd,biological,5,5,0.18,NA,0.084,biological,NA,ng/g,Not provided,Not provided,Dependent,Table S3,No,"We assumed that all specimens of one species were analysed separately and that NO pooling occured. However, we can not be fully sure. We also assumed that the provided sd was biological. ",
F003,Bhavsar_2014,2014,Canada,E056,Common carp,Cyprinus carpio,vertebrate,freshwater fish,19.68,PFNA,9,,No,Broiling,oil-based,NA,300,600,No,Yes,canola oil,0.341,0.341,0.003464743,98.42,C010,Shared control,NA,5,5,ng/g,0.092,NA,0.03,sd,biological,5,5,0.105,NA,0.037,biological,NA,ng/g,Not provided,Not provided,Dependent,Table S3,No,"We assumed that all specimens of one species were analysed separately and that NO pooling occured. However, we can not be fully sure. We also assumed that the provided sd was biological. ",
